Season,G,GS,ShO,SV,IPouts,H,ER,BB,SO,HLD,QS,PTS,AB,PA,1B,2B,3B,HR,R,RBI
2023,10,10,0,0,130,45,28,28,38,0,1,10.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,27,27,0,0,417,164,85,43,87,0,12,97.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,63,0,0,3,172,45,17,21,73,17,0,282,NA,NA,NA,NA,NA,NA,NA,NA
2023,28,0,0,1,83,19,2,11,39,8,0,156,NA,NA,NA,NA,NA,NA,NA,NA
2023,12,12,0,0,190,59,35,20,67,0,3,130.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,57,0,0,4,171,37,17,28,67,8,0,204.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,35,0,0,1,106,30,12,9,36,15,0,165.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,71,0,0,2,205,41,13,31,77,31,0,360,NA,NA,NA,NA,NA,NA,NA,NA
2023,15,15,0,0,213,69,43,25,73,0,2,101,NA,NA,NA,NA,NA,NA,NA,NA
2023,25,9,0,2,269,96,45,14,67,1,3,141,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,10,0,0,328,93,37,41,94,2,4,244,NA,NA,NA,NA,NA,NA,NA,NA
2023,41,23,0,0,427,147,79,56,141,1,5,201.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,69,0,0,2,216,58,27,36,98,17,0,286,NA,NA,NA,NA,NA,NA,NA,NA
2023,42,0,0,1,118,29,18,18,60,13,0,159.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,32,0,0,540,210,104,57,124,0,15,145.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,69,0,0,4,200,52,22,21,75,29,0,322.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,65,0,0,34,182,46,21,24,80,0,0,382,NA,NA,NA,NA,NA,NA,NA,NA
2023,31,2,0,0,104,35,14,12,52,4,0,115.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,23,21,0,0,314,106,65,39,129,0,1,153.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,22,10,0,1,215,82,41,13,72,3,3,129.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,50,0,0,0,165,51,29,36,68,11,0,127.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,18,18,0,0,247,98,64,39,72,0,3,-0.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,60,1,0,3,253,89,27,31,82,18,0,246,NA,NA,NA,NA,NA,NA,NA,NA
2023,67,0,0,3,183,33,21,39,72,23,0,282,NA,NA,NA,NA,NA,NA,NA,NA
2023,26,22,0,0,374,110,63,38,110,0,4,207,NA,NA,NA,NA,NA,NA,NA,NA
2023,22,11,0,0,185,66,36,25,46,2,2,40.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,18,12,0,0,207,83,47,19,73,1,0,59,NA,NA,NA,NA,NA,NA,NA,NA
2023,68,0,0,6,198,50,24,34,83,22,0,274,NA,NA,NA,NA,NA,NA,NA,NA
2023,61,0,0,0,175,53,44,36,78,15,0,125.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,27,0,0,439,165,88,58,129,0,7,116.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,40,4,0,1,258,90,37,21,96,2,0,190.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,55,6,0,0,152,48,18,18,58,4,0,135,NA,NA,NA,NA,NA,NA,NA,NA
2023,29,27,0,0,432,159,85,46,96,0,7,103.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,36,1,0,1,104,26,6,12,39,13,0,169,NA,NA,NA,NA,NA,NA,NA,NA
2023,19,19,0,0,299,111,58,35,58,0,8,58,NA,NA,NA,NA,NA,NA,NA,NA
2023,70,0,0,0,197,50,24,25,62,16,0,212.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,3,0,0,48,4,1,4,24,0,2,101,NA,NA,NA,NA,NA,NA,NA,NA
2023,24,24,0,0,363,118,62,54,99,0,8,149,NA,NA,NA,NA,NA,NA,NA,NA
2023,16,9,0,0,152,55,33,21,48,0,1,29,NA,NA,NA,NA,NA,NA,NA,NA
2023,56,1,0,1,149,52,24,17,64,9,0,131.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,6,6,0,0,81,25,12,10,31,0,2,66.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,9,9,0,0,140,44,15,17,32,0,3,101.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,17,16,0,0,267,86,41,35,64,0,6,130.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,55,8,0,1,145,55,25,11,31,6,0,79,NA,NA,NA,NA,NA,NA,NA,NA
2023,10,6,0,0,100,24,14,16,38,1,2,78,NA,NA,NA,NA,NA,NA,NA,NA
2023,44,0,0,0,157,43,32,17,66,14,0,155,NA,NA,NA,NA,NA,NA,NA,NA
2023,8,8,0,0,112,35,16,14,37,0,4,88.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,0,0,1,122,41,12,9,28,2,0,77,NA,NA,NA,NA,NA,NA,NA,NA
2023,66,0,0,3,164,44,17,25,61,25,0,245.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,67,0,0,13,188,63,28,30,90,12,0,254.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,14,6,0,0,151,43,18,25,54,0,1,109,NA,NA,NA,NA,NA,NA,NA,NA
2023,49,13,0,1,184,61,22,24,78,2,0,168.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,50,0,0,0,158,46,15,15,60,22,0,245.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,38,2,0,0,121,26,11,4,33,8,0,157,NA,NA,NA,NA,NA,NA,NA,NA
2023,25,20,0,1,356,83,48,34,117,0,8,328.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,54,0,0,1,154,31,10,19,44,7,0,167,NA,NA,NA,NA,NA,NA,NA,NA
2023,71,0,0,3,225,58,35,29,70,9,0,179.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,25,25,0,0,379,141,66,58,105,0,6,132.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,9,7,0,0,126,33,17,23,38,0,3,73,NA,NA,NA,NA,NA,NA,NA,NA
2023,15,15,0,0,234,60,31,21,50,0,4,147.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,68,0,0,2,222,66,25,19,60,30,0,267.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,59,0,0,1,184,49,23,26,54,21,0,196.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,68,0,0,1,198,49,22,25,74,10,0,219,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,0,0,1,92,16,6,20,39,8,0,140,NA,NA,NA,NA,NA,NA,NA,NA
2023,69,0,0,4,193,48,25,24,77,28,0,292,NA,NA,NA,NA,NA,NA,NA,NA
2023,10,10,0,0,150,55,29,18,34,0,4,57.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,69,0,0,1,164,47,23,11,64,17,0,210,NA,NA,NA,NA,NA,NA,NA,NA
2023,31,1,0,0,98,25,14,10,34,8,0,107.5,NA,NA,NA,NA,NA,NA,NA,NA
